symbol,interval,start,end,method,param,final_balance,return_pct,max_drawdown,win_rate,total_trades,profit_factor,sharpe
BTCUSDT,15m,20250101,20251201,fixed,100,101400400.97730467,10139.040097730467,0.05214245933214083,0.545273631840796,5025,3.860420740890943,
BTCUSDT,15m,20250101,20251201,fixed,150,7692460.813682544,768.2460813682544,0.06320406168898594,0.4998438963471745,3203,2.888539089585854,
BTCUSDT,15m,20250101,20251201,fixed,200,1451760.7640675267,144.17607640675266,0.05627361715627412,0.4552701505757307,2258,2.575477626779586,
BTCUSDT,15m,20250101,20251201,fixed,250,462015.3639540816,45.20153639540816,0.08061719919026762,0.4379432624113475,1692,2.170228267008277,
BTCUSDT,15m,20250101,20251201,fixed,300,210824.88193462195,20.082488193462197,0.09521222504863368,0.42255639097744363,1330,1.964971873247783,
BTCUSDT,15m,20250101,20251201,fixed,350,169360.89394346546,15.936089394346546,0.10835706499971702,0.4227005870841487,1022,2.1092562658671867,
BTCUSDT,15m,20250101,20251201,fixed,400,170747.14774952966,16.074714774952966,0.09490811008819248,0.43300248138957814,806,2.185148195607559,
BTCUSDT,15m,20250101,20251201,fixed,450,98797.10521412206,8.879710521412205,0.11612525054958157,0.4067055393586006,686,2.0014671948018328,
BTCUSDT,15m,20250101,20251201,fixed,500,92497.1882943022,8.24971882943022,0.1260144616375984,0.4342560553633218,578,2.0062321114630706,
BTCUSDT,15m,20250101,20251201,percentage,0.003,393566.20317094476,38.356620317094475,0.10952766820755715,0.44049247606019154,1462,2.2126174466404014,
BTCUSDT,15m,20250101,20251201,percentage,0.0035,209318.9716129678,19.93189716129678,0.09915286895095692,0.4221105527638191,1194,1.9582770187494931,
