interval,reversal_count,method,param,param_label,final_balance,total_return,total_return_pct,max_drawdown_pct,total_trades,win_rate,profit_factor,avg_win,avg_loss,avg_daily_trades,in_trade_freq_range,trade_freq_score,days_total,days_profit,days_loss,days_over_200,avg_daily_pnl,max_daily_loss,profit_target_hit,daily_loss_ok,withdrawal_days_ok,profimr_eval_pass,profimr_withdrawal_pass,composite_score
15m,3,atr,"(14, 0.5)",atr14x0.5,380266.4,330266.4,660.53,4.32,109,71.56,20.673,4449.41,-541.53,1.8,False,0.27,62,55,3,55,5326.88,-1370.4,True,True,True,True,True,60.77
15m,2,atr,"(7, 1.0)",atr7x1.0,307268.94,257268.94,514.54,4.04,70,68.57,13.269,5796.62,-953.12,1.2,False,0.189,57,45,8,45,4513.49,-3225.94,True,False,True,False,True,60.76
15m,2,atr,"(14, 0.75)",atr14x0.75,371187.5,321187.5,642.37,5.54,107,69.16,18.361,4590.38,-560.62,1.6,False,0.253,65,56,4,56,4941.35,-1541.7,True,True,True,True,True,60.44
1h,1,fixed,20,fixed20,875600.0,825600.0,1651.2,4.11,169,70.41,22.5,7260.5,-768.0,1.3,False,0.206,126,103,15,103,6552.38,-2400.0,True,False,True,False,True,60.34
15m,3,atr,"(7, 0.5)",atr7x0.5,352835.39,302835.39,605.67,4.41,95,71.58,18.068,4714.38,-657.14,1.5,False,0.232,63,54,6,54,4806.91,-1612.97,True,True,True,True,True,60.02
5m,2,atr,"(14, 2.0)",atr14x2.0,280685.43,230685.43,461.37,6.52,55,60.0,13.304,7558.6,-852.19,1.2,False,0.192,44,31,8,31,5242.85,-3260.57,True,False,True,False,True,60.0
15m,3,fixed,10,fixed10,290600.0,240600.0,481.2,6.46,68,66.18,11.553,5853.33,-991.3,1.2,False,0.187,56,40,11,40,4296.43,-1800.0,True,True,True,True,True,60.0
15m,3,atr,"(7, 1.0)",atr7x1.0,240330.63,190330.63,380.66,8.22,51,62.75,7.941,6804.72,-1443.18,1.0,False,0.157,50,31,12,31,3806.61,-3225.94,True,False,True,False,True,60.0
15m,3,atr,"(7, 0.75)",atr7x0.75,290131.12,240131.12,480.26,6.5,68,67.65,10.683,5759.36,-1127.25,1.2,False,0.184,57,42,11,42,4212.83,-3024.32,True,False,True,False,True,60.0
1h,1,fixed,25,fixed25,791000.0,741000.0,1482.0,5.22,155,64.52,17.467,7860.0,-818.18,1.3,False,0.204,117,87,17,87,6333.33,-3000.0,True,False,True,False,True,60.0
15m,2,atr,"(7, 0.75)",atr7x0.75,345173.77,295173.77,590.35,4.46,91,65.93,16.742,5232.08,-604.86,1.5,False,0.23,61,50,3,50,4838.91,-1209.73,True,True,True,True,True,60.0
15m,2,fixed,10,fixed10,347600.0,297600.0,595.2,4.43,91,65.93,17.533,5260.0,-580.65,1.5,False,0.23,61,49,5,49,4878.69,-1800.0,True,True,True,True,True,60.0
15m,2,fixed,20,fixed20,238400.0,188400.0,376.8,8.39,44,63.64,10.235,7457.14,-1275.0,1.0,False,0.15,45,27,10,27,4186.67,-2400.0,True,False,True,False,True,60.0
15m,2,atr,"(14, 1.0)",atr14x1.0,321339.2,271339.2,542.68,5.83,87,63.22,13.375,5332.1,-685.2,1.4,False,0.209,64,49,10,49,4239.67,-3426.0,True,False,True,False,True,60.0
